country,conflict_articles,total_deaths,p_fatality,p_articles,z_articles,z_fatality,invisibility_score
Iran,252498,201,3.81,49.21,6.44,0.51,-1.58
Ukraine,57791,506,9.59,11.26,1.25,2.2,-0.48
Israel,46601,142,2.69,9.08,0.96,0.18,-0.97
Nigeria,42928,1030,19.52,8.37,0.86,5.11,-0.02
Lebanon,37825,314,5.95,7.37,0.72,1.13,-0.51
Mexico,15388,270,5.12,3.0,0.13,0.89,-0.17
Pakistan,12174,210,3.98,2.37,0.04,0.56,-0.17
Venezuela,8947,27,0.51,1.74,-0.05,-0.46,-0.97
Colombia,7435,148,2.81,1.45,-0.09,0.21,-0.11
Mali,6755,116,2.2,1.32,-0.1,0.03,-0.18
Bangladesh,5983,12,0.23,1.17,-0.13,-0.54,-1.16
Syria,5725,59,1.12,1.12,-0.13,-0.28,-0.41
United Arab Emirates,3314,2,0.04,0.65,-0.2,-0.6,-1.69
Ecuador,2933,48,0.91,0.57,-0.21,-0.34,-0.2
Brazil,2458,29,0.55,0.48,-0.22,-0.45,-0.35
India,1620,33,0.63,0.32,-0.24,-0.43,-0.1
Somalia,939,299,5.67,0.18,-0.26,1.05,1.17
Sudan,515,425,8.06,0.1,-0.27,1.75,1.6
Saudi Arabia,424,1,0.02,0.08,-0.27,-0.6,-1.04
Afghanistan,255,37,0.7,0.05,-0.28,-0.4,0.8
Algeria,204,2,0.04,0.04,-0.28,-0.6,-0.41
Kenya,62,7,0.13,0.01,-0.28,-0.57,0.76
Thailand,46,5,0.09,0.01,-0.28,-0.58,0.6
Belize,31,2,0.04,0.01,-0.28,-0.6,0.22
Niger,30,82,1.55,0.01,-0.28,-0.15,1.9
Ethiopia,29,287,5.44,0.01,-0.28,0.98,2.47
Ghana,26,11,0.21,0.01,-0.28,-0.55,0.98
